0,1
有几次作业，有点难度，期末考试,bad
讲课内容很丰富，学过才会有受益匪浅的感觉。不是水课，上课老师会叫人回答问题；节节手工签到，期末会有关于授课内容的选择填空简答计算的开卷考试…认真一些稳过吧，93,good
每节课签到，考试开卷但是还是要弄懂，难度不会很大但也不是特别容易就水过去,good
签到可以代签，考试开卷，有几次作业，难度中上,good
认真听课就行，开卷,good
期末考试，上课签到，开卷，挺简单的，略微枯燥,good
会有几次小作业，期末开卷考试，好好听课做作业90+应该没问题,good
666,good
课余时间不是很充裕的建议不要选,bad
期中一篇读书笔记，期末一篇论文，给分一般，没上90,bad
没有点名，期末交论文或者读后感,good
一篇读书笔记+读书笔记or论文，给分好，90+,good
老师特别好，给分也不错,good
老师很有文人风骨，脾气超好不点名，中间交一篇读书笔记，最后期末一篇文体不限，字数要求不是很高，认真写给分就很好。虽然没怎么认真听过课，但炒鸡喜欢老师了~,good
一篇读书笔记，一篇文体不限，给分还可以。老师超级负责,good
89分实名哭泣,bad
两篇读书笔记，给分不错，从不查勤。,good
两篇读书笔记，给分还行,good
老师讲课很棒，没有点过名，考核是一篇论文没有考试，给分超级好！,good
上课的内容还是很好的，从来都不点名，只去了几次···结课论文也还算好写就是要看老师建议的书,good
授课十分有趣，余大大人超好，考核是提前两个月布置一篇论文,good
点名不记得了，最后非常认真的写了论文，基本是自己写的，只有63,bad
老师讲课主要按照文化人类学那本书讲，自己课下有很大余地扩充知识。给分就看一篇论文，good
非历史院的学生上90有点难。。,bad
不点名期末交论文90+,good
余老师是绝对的楷模,good
给分不高,bad
一篇论文85,good
刚刚看教务系统发现新学期这门课好像换老师了？嗯余老师上课很有趣，作为理科生觉得多听听人文方面的知识对自己很有益。关键是，不点名！学分高！给分的话80+还可以吧。,good
基本每次都去，但感觉没差（老师也不点名......）最后一篇3000字论文，给分85.，,good
下课要花些时间弄懂老师讲的，要好好写作业。,bad
标准有点迷，讲课的详略安排不是很理想，有些东西需要课后慢慢弄明白,bad
不是特别感兴趣的真的不建议选,bad
讲的有乐理，没基础挺费劲，最后做两段音频，给分有点迷,bad
首先还是要表达一下对老师的感谢。上课非常有意思，互动性强，如果认真做笔记的话可以学到很多会讲SONAR和Cubase这两个软件，感觉Cubase很有用，good
但SONAR可以用overture来代替对乐理基础的要求并不高（即使啥也不懂，也只需要把五线谱的高音谱号和低音谱号都给认熟练就行），但笔记极其重要（还会讲三和弦之类的）但有意思是一方面，另一方面，不建议用这门课来水学分，因为即使你平时把这门课当成专业课来学习，来重视，也并不能保证你期末能满绩（没错，给分细则不详，也许你把它当成数分那么重要来学也只能得80多分）（89成功卡绩的路过）bad
非常不推荐，讲课进度太快，没有基础的话基本跟不上，最后还要交自己写的音乐，给分也不好，坑爹啊！！,bad
期末做一个短的音乐，但给分一般，,bad
讲的是非常基础的乐理知识，及Sonar和Cubase的简单使用，考核需要交一首midi格式的音乐和一首自己用软件做的音乐，有一定的难度，认真做了也只有80分,bad
除非有巨大到做梦都在搞电子音乐的兴趣，否则不建议选择,bad
有音乐基础的话可以学到一点简单的Cubase和sonar的应用，老师讲课稍微有点拖，不过人还挺好的,good
真的一言难尽，没有专业乐理知识的人很难听懂，最可怕的课没有之一,bad
不知道老师怎么评的分……,bad
论踩雷的意外收获哈哈哈哈哈~我们会写曲了都好强大,good
期末用软件做音频，一共2个必做的，1个可做可不做的。主要是教cubase和sonar软件的时候一定要认真听，如果不听课又没有大佬带很容易挂的。我觉得教软件的那几节课挺有用，其他的关于乐理的知识讲得太零散让人很难集中注意力。不过老师好像很厉害的样子。,good
考试做两个音乐，再加自己选做一个原创，只有做的很好才能90+，不是特别感兴趣的建议别选，课的后半段都是老师在那炫耀自己，没啥干货了。,bad
变态点名，，每逢元旦，清明假期前一天必点其余时间不点，给分不高，,bad
感觉最后的成绩很看最终作品的优劣吧，建议有基础或者很有兴趣的同学选修。,good
坑，巨坑，非常坑，不建议选,bad
认真听还是会学到一点东西的，，但是给分很低啊,bad
老师人很坑而且讲课比较懒撒，不让人拷课件而且期末给分很迷,bad
上课教你用sonar和cubase制作噪音，老师没有一点逻辑，自大得一匹，千万不要相信他的任何一句话，上课最开始还讲的乐理，扯着扯着就开始在课上拖时间教你用软件做噪音，最后的作业检查也极不负责，看到这还想选的同学可以去查一下胡壮利老师的给分谢谢合作,bad
随机签到，本学期签了三次，讲课还是挺有趣的，老师也很有趣。会讲一点乐理和制作音乐的相关软件，期末交一个平时作业和期末作品，用学过的两个软件做两个作品，给分一般（这个应该比较看作品吧,good
。。。,good
最后用老师讲的软件交自己做的音乐。。。一言难尽,bad
老师讲的挺有趣的，只有一次点名，期末2人一组合作写创业报告书，给分好,good
上课好玩,good
老师讲的东西很实际，推荐有创业想法的各位，最后的大作业有点大，做好了的话90+,good
一次小组合作项目PPT讲演，上课很轻松。,good
老师讲课很有意思，还有企业家来讲课，给分也好，事也少。,good
很好很好的老师，讲课超棒，给分也好,good
有3次纸条签到，期末写个创业计划书。,good
老师人比较有趣,good
对创业感兴趣的话个人觉得可以去多请教一下老师,good
有一次点名交纸条，最后一次课是小组讨论且轮流发言，期末作业是一篇两页的策划，给分挺好,good
内容很开阔眼界，给分没有90那么高,good
考核是交论文，老师人是很棒的，经验也很丰富，不过我一个学软件的也就是门外汉听个热闹啦！~这也算是公选课的本意吧！,good
听得挺累…一次不到扣十分…,bad
闭卷，必须记笔记,bad
经常点名签到，期末作业多，给分低,bad
不点名，期末带卷子回去写。老师讲的非常好，也超级温柔，能有一些收获，给分中规中矩吧。,good
期末带卷子回去写，分数一般,bad
平时没怎么去，也从不点名，期末提前给题目，写完规定时间上交就行，给分还可以,good
没点到，期末回去做题,good
