0,1
不错，老师讲的很好,good
不点名每节课都有作业不过是最后一起交的那种。最后要做一个应用，使用Matlab解决本专业的问题，这个没点本事还真搞不出来,bad
额其实有点照本宣科，有点小枯燥，但老师非常认真,good
期末大作业很简单，就是照抄一个程序，老师讲的很认真，不过不认真听也没事，90+,good
期末要交大作业与日常作业,bad
建议旁听不建议选，没有基础跟不上。评分两次考勤，一次作业，一次期末论文,bad
给分可以，老师讲课照本宣科···,good
老师很好,good
没有基础且没有想学好的心的同学建议不要选，Matlab倒是非常适合学习下,good
老师给分有点差,bad
点过一次名，给分很好,good
点过一次名，期末要上交论文一篇（其实就是m文件），认真的话可以得高分,good
一篇结业论文加上几个小作业即可，只要满足基本要求评分就很不错,good
真的比较水，不建议选择,bad
结课论文，想学MATLAB的可以听听，不过技术更在个人，上课可以看作一个全面的介绍，广度尚可深度不足。给分也是中规中矩吧~,good
emmm好吧，上课没有认真听，其实老师讲的还是挺不错的,good
跟着课本学，老师上课操作一遍，认认真真学能学到东西，但是自己没好好学，80+,good
上课讲ppt，考核交平时的作业和期末论文，认真做一下给分还不错,good
上课就是照着讲义念，偶尔操作一下。作业期末交，有期末大论文,bad
课件很有价值,good
考核是论文加平时作业，讲课不算很有意思但是也可以，给分挺好的。,good
给分还好。论文和作业是评价,good
老师比较认真，但是对于有一定编程基础的学生而言课程内容还是较浅。平时作业和期末论文负担略大。,good
比较简单,good
点名去了，认真完成作业与论文，分应该蛮高的吧,good
只点了两次名，最后论文写好了，90+,good
论文考核，有教材，按照教材来讲解MATLAB，给分不错,good
倒数第二节课点名。我是文科生但是以前有计算机基础，觉得并不无聊。作业做得很认真最后94,good
平时有作业，期末结合自己的兴趣做个matlab例子交论文，论文彩打还有bonus...，给分90+,good
期末交一篇论文还有平时的作业，最后两节课会点名,good
最后交一篇论文，用matlab解决学业问题，偶尔点名。,good
课程很简单，点名也很松散，最后交一篇论文是用matlab解决自己专业学习碰到的问题，给分不错,good
可能大部分都是给分85+吧。最后两三节课点名，然后用matlab完成作业题再加上自己做一个自己想做的事情，可大可小。,good
给分很好，讲的不错。,good
超难，给分超低！，文科类专业，我最后拿了72,bad
点名会提前说。,good
老师人很好，给分高，这个软件确实有用！,good
其实没听懂老师讲什么，期末交平时作业和期末论文，要求不高。点名很严，不过就两次。,bad
一学期没上课。。。85分,good
没意思,bad
讲课不错，学会了很多MATLAB的东西，很有帮助，给分也不错的,good
还行吧,bad
有没有计科前辈说下，这个对于我们专业算不算分啊,good
很好,good
呜呜，这是一个热爱本行的老师，只是。。。我想用matlab解决的问题已经解决了，就没继续学习,good
老师很认真，检查作业挺严格，最后的作业有点多但是很提升能力，认真做给分90加,good
课程很不错，老师人超级好，作业简单，期末交大作业，做得不合要求老师会给你指出然后缓交,good
最后一节课点名，没有数学或编程基础的慎选，会比较虐。期末论文+作业，给分很好,good
还比较好过吧，反正课上学到东西很难，论文抄的认真就行,good
91，上课略无聊，但讲软件应用也玩不出什么花样，一般般。考核方式是许多小作业+一份大作业，有一点点难度。可以选这个课去听听，尤其是理工的同志们。,good
讲的很认真，认真学习可以学到很多东西,good
有点枯燥。。但只要写论文还是很容易90+的,good
MATLAB很有用，不过这课上学不到啥东西。,good
就最后一次点了名，老师有出一套卷子课后完成，还需要做一个程序，网上抄的也行,good
这课就是个坑。上课念PPT特别无聊人还贼多，给分还贼低，受不了受不了,bad
给分垃圾,bad
上课很无聊，人还超级多，根本听不清，没去几次，最后交论文，比较简单,bad
上课念书，作业和论文可以随便写,good
讲的软件很专业，对于有些专业同学来说可能很基础。课上总有大神跟老师互动。。不过也没指望学完这门课能对MATLAB完全掌握。最后交作业，一个是网上copy的，一个是图书馆借书copy的。给分90+,good
有作业，有期末论文，老师很认真,good
无聊至极，，给分还可以,bad
上课比较无聊，特别对于零基础的文科生来说……期末写论文和交一份平时作业，作业网上有答案，论文自求多福……不过分数还挺高的,bad
专业性比较强，但是给分超级高。，，，，，，，，，，，，，，，，，，，，，，，，，，，，,good
老师有点意思，课上人比较多，夏天有点热。和计算机有关。不难。,good
讲的还是挺实用的，能学到很多东西，最后是论文方式，还要提交一份作品,good
确实不错，最后交论文，选交作品。我做了一个十来秒的动画。最后91分,good
最后有个论文和大作业，几个老师一起开的课，给分也不错,good
比较浅显，平时轻松，期末简单,good
期末有一篇论文，然后剪辑视频或者p图选做，给分还行,good
期末论文加一个作品，很简单。学过一点ps或者pr的可以去拿高分，论文乱写的，交了一个3分多钟的混剪，神奇90+了,good
有时点名，给分还行，期末一篇论文，作品自由选择交或者不交，85+，感觉一般,good
教的东西都是关于多媒体的，很实用，不点名，交作业和论文，给分很好,good
期末论文和自选作业，从不点名，课上会教干货，给分非常好，强推！,good
三个老师换着上课，讲的挺好，几乎不怎么点名，平时会用雨课堂，期末论文＋作品（作品不强制）然鹅我没交作品所以85，交了的话90+应该没问题emmmm反正老师人很好的,good
考试论文加任意小作业，ps，视频剪辑，音频剪辑什么的都可以，给分还行,good
不错,good
给分一般,good
不点名，不去上课期末给分也还不错,good
作业很迷啊,good
偶尔有扫码点名或随堂小测试当作点名，算是标准的水学分的课，不过老师讲的不错，听听也能学一点,good
不点名，没作用，给分高,good
没作业，基本不点名，给分可以,good
老师真的是nice啊,good
考核交论文（必做)数字媒体作品（选做）给分一般，每次课都去，但是毫无用处，论文也全原创，但是只有87,good
老师人很好，最后交个作品，给分很好,good
有三个老师轮流讲课，平时会用雨课堂，期末一篇论文加一个自己的数字媒体作品，老师给分还算不错,good
几个老师轮流上课，有一个老师讲得比较有意思，不点名但有过一次课堂测验，一个选择题看答案就能蒙出来的那种，期末交论文和作品（p的图做的视频之类的，不交也行但交了分高）和一篇论文，论文只要和数字媒体搭边就行。本人交了一个ps动画和论文，93。,good
写论文，选做一个作品，给分好。,good
期末交篇论文，也可以再多交一份自己的作品，很简单的，给分也很好,good
就这样吧，三个老师上课，期末一篇论文一个作品，有作品分就好，水混拿个不错的成绩,good
大会员老师超级超级有意思！！！！不点名，佛系，期末交个作品，一篇论文，90+,good
不点名！邹老师人很好也很有趣！！期末一篇论文，交作品不强制，但交了可加分。论文+作品，一般就能上90。,good
给分特别好,good
给分很好,good
期末论文、课堂会用微助教答题，给分不错,good
还不错,good
不点名，最后微信答题还发了红包，三个老师人都很好。会介绍一些音频、视频和图像的理论知识。最后交论文。,good
讲课挺有趣，每节课教一点数字媒体软件的基本操作比如Adobe系列和goldwave之类的，但是不是很深入。结课论文和选交一份数字媒体作品（比如自己做的PS或者剪视频剪音频Flash都可以），非常简单,good
作业是PS，给分不错,good
不点名，但是每堂课会有课堂小作业（相当于点名），期末选题写论文，可以交海报视频之类的作品上去加额外分,good
平时不怎么点名，讲课也很有趣，期末交视频，音频或平面作品就行，不卡绩,good
挺有意思的老师，推荐+1,good
作品+论文，，被卡了,good
好课,good
写论文，交作品。90+,good
会换好几个老师上课，有的老师还挺幽默的，上课好玩有干货，给分也不错,good
学的东西还挺有用的，最后一篇论文，交作品可以加分，给分不错,good
布置一次期末作业,good
比较水，讲的基础的PS，，有时唠家常,good
两个老师轮流讲课，，中规中矩，给分高,good
还是不错的，给分也可以,good
非常有趣，两个老师讲的东西很实用而且有意思，期末交作品，算是实践了,good
考试就是一篇论文＋一个ps作品，交作品会有加分用的线上签到老师人很好，最后一节课还发了一百块钱红包，虽然没有抢到，hhhhhh,good
挺有意思的，不过什么都讲，不很系统…最后论文加作品，90➕,good
大课很少点名，平时没有作业，期末论文+作品（作品选做），给分90+,good
很棒，三个老师。交论文和可选择的小作业。,good
期末交一篇论文和一个小作业就好,good
三个老师上课粗略讲了一些PS，Goldwave，等软件交论文，选交小作品，老师给分很好,good
期末交一篇论文以及作品，挺好过的,good
老师上课的确说了很多东西，但速度偏快，尤其是坐后排的同学很容易听不清楚……但是很水啊几乎没怎么点过名字，没有测试，期末就是论文（必写）＋一篇自己的作品（随便是PS还是视频音频动画都可以，可写可不写，加分项）。我就写了个VR的论文加一个很辣鸡的PS作品还拿了90+……蛮值得选的一门课，好好学能学到很多，水一水分数也不低！,good
期末交一篇论文，交作品会有加分，讲课内容还是蛮实用的，而且老师超有趣，喜欢发红包哈哈哈，给分90+,good
换着老师上的，但是老师人都好好的，给分很高。期末交一篇论文，也可以交自己的作品，那样会加分。,good
推荐哦,good
期末的时候交论文和作品，最后90+，老师上课讲的还挺有意思的，不点名,good
，老师教的很快，每样都学但学的不精，期末论文给分好，交作品会加分,good
讲课很好玩，没有考试，期末交论文，给分好~,good
老师超好,good
最后交论文，给分一般，上课比较boring,good
很好的一门课，学到很多有用的知识,good
好课，给分好，老师可爱,good
很好，交作品有高分，老师很负责,bad
90分，交作品有加分,good
老师讲课非常有趣，给分很好，没有考试，结课交作品，不点名，推荐。,good
邹炼和颜佳两位老师上，很有趣的老师，颜佳老师会讲具体的PS运用，邹老师讲理论性的东西，结课论文,good
入门级有用，写论文，给分高，,good
p了一张图，90+,good
老师超级认真负责，给分良心！,good
不知道为什么被给了低分５５５５５,bad
比课程名字有趣许多的课程，被人忽视的好课,good
论文和作品。当时不认真做，85分，老师挺好的,good
认真听老师的要求，最后85+肯定，没问题，,good
讲ps，会声会影，和，flash，带电脑去自己操作，基本上都能学会，电信院的课，期末交论文，附加小作品，给分超级好，认真做了就能轻松90+,good
给分高，平时课讲的有趣，但只听一遍记不住，最后论文和小作品，做了小作品基本有90+,good
这个课墙裂推荐啊，适合对PS、会声会影、flash等等完全不懂的小白，内容不深但是激发你对软件的兴趣。我超喜欢将这门课的颜佳老师，上课通俗易通，不时有点幽默。邹炼老师比较温和，上课扯得有点远哈哈，虽然课上没点过名，但他说有自己独特的辨别学生有没有上课的方法。至于是什么方法不得而知，但是建议最后一周的课要去听听考核要求什么的。最后给分高，大爱。,good
也是论文，老师讲的没啥吸引力，如果认真学还是有一丁点用处的,bad
老师人超级好，教的也不错，给分也不错,good
从来不点名，期末一个论文一个多媒体作业轻松90+。,good
老师人很好啊，上课跟大家侃大山，啊哈哈，过年还在群里发红包了，期末论文+小作品（选做），我因为懒就只交了论文，85分，要是交了小作品应该拿90+不难。,good
没有作业，邹老师人很好！只要认真完成考核就有90+,good
老师不错，从不点名给分高,good
考核是作品+论文。（建议加老师qq...老师很好的）,good
不点名，课程很实用。考试可以交论文或者作品。交论文的分会比较低。,good
给分真的高！,good
三个老师轮着教，讲PS，Flash，GoldWave，会声会影的软件应用，考试最后交一个作业，关于多媒体的论文和一个多媒体作品，可以只交论文但相对分会低一些，交期限比较长，老师人也很好。无压力，但是想要学到东西的话，适合有一点基础的人。,good
很少签到，考试闭卷，不过悄悄带纸条也是可以的,good
课程很实用，，，考核形式是一篇论文，如果想分数更高一点可以交自己的媒体作品,good
很easy，结课只要交一篇论文就够了，而且绝大多数，九成九的同学能得到90+，绝对业界良心,good
有3位老师共同授课，课堂气氛非常活跃，没有平时作业，给分科学合理。,good
兴趣大于一切,good
给分超好，，人好,good
此课程灰常好！！！,good
超赞，老师上课基本不点名，但是讲课很有趣所以缺勤的学生不多，并且学到了很多生活中有实用的知识。如PS，flash等，期末只要交一个自己的作品和一篇大论文，平时没有作业，而且分数还可以和老师“讨价还价”，很多90+的高分。,good
有三个不同的老师，讲得东西很多，但主要还是靠自己实际操作才能学会,good
从来不点名，给分超级好。教ps和会声会影，最后写一篇论文,good
老师讲课很好，不同的阶段会有不同的老师为同学授课，期末考察方式为一份课程相关的论文和一份多媒体作品(选交),good
从未点过名，期末交一个作品+一篇论文，给分大多数上90~,good
会有不同的老师上课，认真听还是会有收获的，期末作业还简单，不错的一门课,good
有趣，不错,good
老师讲的特别好哦，上了之后学会了PS，会声会影~平时从来不点名，课也很容易懂，大部分都是90+,good
上课不点名，内容挺有趣，考试交论文，给分很高，强烈推荐。,good
考核形式是一篇论文，还可以交上自己的多媒体作品加分。,good
考核只要认真写一篇论文，然后交一份小制作（ps、Flash、视频或者跟数字媒体有关的作品）成绩基本都能上90.上课老师从来不点名，几个老师轮换着教不同的东西，有理论有实践。老师们都很幽默，而且还有qq群供大家交流讨论。,good
课程很实用，ps方面能学到东西，不点名，无作业，结课交论文附带自己处理过的视频或影像资料，给分高,good
老师人很好商量事情的~,good
老师萌萌哒,good
微助教答题签到，每节课都签到，还会设陷阱防止有人隔空答题，但是老师上课很用心，是门好课,good
每节课都有小测，但是相比水课而言比较有内容，学到了很多。而且没有作业，一切问题课上解决。强烈推荐。,good
没有点名，有平时作业。最后交一篇小论文。课程内容挺有意思，老师讲的挺充实。,good
根本不点名！！！！老师人也很好，期末会有一个论文如果想水完全好水，，均分八十几分,good
老师讲的很好，平时有小作业，期末论文一篇，就是高分不多,good
每次作业都写了，最后85，我觉得给分不好,bad
每次作业都写90+,good
作业，三次作业，期末作业...给分85+,good
论文，给分一般，讲的还行,good
不知道为什么分这么低。。,bad
平时四次作业但只要交三次（都交分会高一点吧），期末交与本专业相关的一篇论文，感觉还可以。,good
考核是一篇论文，给分一般，会有好几次小作业。,good
给分低。。。。,bad
老师讲课还行，考核是一篇论文……但是给分这么低我就……不知道为啥了,bad
老师讲的东西很有用，中间三次小作业，期末一篇论文，认真写就行，都是上课讲的东西，PPT上有，给分好。,good
考核是一篇论文，老师人很好，讲课也很有意思，挺有收获的,good
老师人很好。,good
老师开课就说来不来都无所谓，是年轻老师但是很有技术水平的，在专业方面懂的很多，不严厉，会有三次小作业和一篇论文（作业在PPT里都有，花不到两小时写的论文，最终给分88）,good
老师人很好啦，课程中总共交三次小论文，即使没来上课，老师最后还是会再说一次小论文的题目，给分也不错,good
不点名，给分高，有三次作业,bad
有两个老师，其中一个讲得特别好。,good
老师蛮能侃，经常放视频，比较轻松，最后开卷。但是不知道为啥最后只得了83。。。,good
后半节课看科普片。考试开卷。,good
老师挺能吹的，蛮有意思，最后开卷，很简单，松松90+,good
不错，老师讲的很好,good
不点名每节课都有作业不过是最后一起交的那种。最后要做一个应用，使用Matlab解决本专业的问题，这个没点本事还真搞不出来,bad
额其实有点照本宣科，有点小枯燥，但老师非常认真,good
期末大作业很简单，就是照抄一个程序，老师讲的很认真，不过不认真听也没事，90+,good
期末要交大作业与日常作业,bad
